"","type","minSek","exp","cor","diff","hour","sec","min"
"1","Latin","3,68","Yes, No","Yes, No","5","17","68","3"
"2","Greek","6,4","Yes","No","10","17","4","6"
"3","Latin","9,54","No","Yes","5","20","54","9"
"4","Greek","4,11","Yes","Yes","3","20","11","4"
"5","Latin","8,5","Yes","Yes","1","20","5","8"
"6","Greek","","Yes","Yes","3","20",NA,NA
"7","Latin","","Yes","No","10","20",NA,NA
"8","Greek","8,9","No","No","7","20","9","8"
"9","Latin","","Yes","Yes","10","20",NA,NA
"10","Latin","idn’t do the sudoku but the instructions seem clear","Yes","Yes","6","20",NA,"idn’t do the sudoku but the instructions seem clear"
"11","Latin",".","Yes","Yes","1","11",NA,"."
"12","Latin","our minute","Yes","Yes","1","11",NA,"our minute"
"13","Greek",",","Yes","Yes","1","11",NA,""
"14","Greek","em minutes and eleven second","Yes","Yes","3","12",NA,"em minutes and eleven second"
"15","","","","","","21",NA,NA
"16","Greek",",1","Yes","Yes","7","21","1",""
"17","Greek","","No","Yes","3","00",NA,NA
